product_title,ordered_item_quantity,returned_item_quantity_abs,returned_item_rate
Assorted Holiday Cookies,1116,20,0.01792
6 Cupcakes,954,50,0.05241
Lunch Box - Individual,775,3,0.00387
Quiche,757,18,0.02377
Pumpkin Pie,745,14,0.01879
Sourdough Bread,592,5,0.00844
Dinner Rolls - 1 Dozen,559,29,0.05187
Vanilla Buttercake with Raspberry Buttercream,546,20,0.03663
Apple Pie,523,9,0.0172
Chocolate Buttercake,476,10,0.021
Guinness & Ginger Cake,476,2,0.0042
Coconut Cream Pie,461,10,0.02169
Multigrain Sourdough,461,2,0.00433
Chicken Pot Pie,457,11,0.02407
Vanilla Buttercake,413,19,0.046
Trifle Cake,395,15,0.03797
Buttertarts,391,9,0.02301
Carrot Cake,373,17,0.04557
Whole Wheat Bread,370,7,0.01891
Chocolate Raspberry Mousse Cake,360,11,0.03055
Tourtiere,348,9,0.02586
Raspberry Pie,338,8,0.02366
Dinner Rolls,325,5,0.01538
Sandwich Platter,304,22,0.07236
6 Ginger Molasses Cookies,298,14,0.04697
Lemon Meringue Pie,290,3,0.01034
Chocolate Mousse Cake,282,8,0.02836
Chocolate Salted Caramel Cake,280,9,0.03214
Confetti Cake,272,4,0.0147
Baked Fruit Tart,268,6,0.02238
Pulla Bread,251,4,0.01593
Apple Crumble Pie,242,4,0.01652
24 Piece Square Tray,236,13,0.05508
White Bread,234,2,0.00854
6 Macarons,233,23,0.09871
Lemon Poppyseed Loaf,232,0,0
6 Chocolate Chunk Cookies,223,2,0.00896
Scottish Shortbread,223,4,0.01793
Cherry Pie,222,5,0.02252
Sausage Rolls - 1 Dozen,222,9,0.04054
Caramel Chocolate Chunk Cheesecake,221,10,0.04524
Crudité Platter,218,11,0.05045
Blueberry Pie,209,10,0.04784
Mincemeat Tarts - Pkg of 6,208,2,0.00961
6 Hot Cross Buns,206,2,0.0097
Caramelized Onion & Gruyere Tarts - 1 Dozen,203,4,0.0197
Oatcakes - 2 per package,200,0,0
Bailey's & Coffee Cake,195,8,0.04102
Brownie Cobbler,194,0,0
Vegan Chocolate Cake,189,4,0.02116
6 Sprinkle Shortbread,185,1,0.0054
6 White Chocolate Cranberry Scones,176,3,0.01704
Fruit Platter,175,13,0.07428
Italian Bread,174,5,0.02873
Charcuterie Board,173,7,0.04046
Brunch Box - Individual,171,16,0.09356
6 Oatmeal Raisin Cookies,165,1,0.00606
Mac & Cheese,163,9,0.05521
Chocolate Yule Log,158,5,0.03164
Chocolate Peanut Butter Cake,156,4,0.02564
Banana Bread,156,1,0.00641
Cookie Trays,152,9,0.05921
Breakfast Pastry Selection,149,15,0.10067
Crostini,149,3,0.02013
6 Peanut Butter Cookies,149,1,0.00671
6 Oatmeal Chocolate Chip Cookies,148,6,0.04054
Chocolate Cream Pie,146,3,0.02054
6 Banana Chocolate Chunk Muffins,146,15,0.10273
Pizza Dough,144,2,0.01388
Plain Oatmeal Cookies,144,0,0
Shepherds Pie,142,3,0.02112
6 Croissants,138,4,0.02898
Breakfast Pastry Platter,138,1,0.00724
Jam Filled Layer Cake,136,4,0.02941
Mushroom Wellington -Vegetarian,132,2,0.01515
Delivery Charge,130,2,0.01538
Creamy Tomato Soup,128,13,0.10156
Vanilla Vegan Cake,124,3,0.02419
White Chocolate Cheesecake - Choice of Fruit,124,1,0.00806
Lemon Layer Cake,123,2,0.01626
Individual Bags,120,0,0
4 Kaisers,117,0,0
Baked Goods Gift Box,116,2,0.01724
Beef Pie,116,0,0
Holiday Baked Goods Gift Box,114,1,0.00877
6 Vegan Chocolate Chip Peanut Butter Cookies,113,1,0.00884
Warm Spinach & Artichoke Dip,110,4,0.03636
Cheese Platter,109,7,0.06422
Bumbleberry Crumble,106,1,0.00943
New Year's Eve 5 Course Dinner for 2,104,7,0.0673
Chocolate Cherry Cake,102,0,0
Fruitcake,102,1,0.0098
Pear Apple Cranberry Crumble Pie,101,1,0.0099
custom Shortbread cookies,100,0,0
6 Hermit Cookies,100,5,0.05
6 Gingerbread Men,99,0,0
6 Brownies,99,5,0.0505
Easter Cupcakes - Pack of 4,97,2,0.02061
6 Vegan Cupcakes,94,2,0.02127
Lemon Cheesecake,92,4,0.04347
Turkey Gravy - Thanksgiving Menu,92,1,0.01086
6 Raspberry Brownies,91,1,0.01098
Thanksgiving Dinner for 2,90,3,0.03333
Plain Cheesecake with Choice of Topping,88,2,0.02272
Challah,87,2,0.02298
Buttered Rum Sauce - 500ml,86,1,0.01162
Holiday Decorated Cupcakes - Pkg of 6,86,5,0.05813
Bag of 1 Gingerbread Man and 1 Snowflake,85,0,0
Chocolate Chip Cookie Cake,85,4,0.04705
Butternut Squash Bisque,85,2,0.02352
6 Lemon Squares,84,2,0.0238
Leek & Potato Soup,83,0,0
5 Course Valentine's Day Dinner for 2,83,2,0.02409
Cinnamon Buns- 4 pack,81,2,0.02469
"Iced Shortbread Cookie (heart-shaped, individually packaged)",80,0,0
6 Buttermilk Biscuits,80,0,0
Red Pepper Goat Cheese Dip,79,0,0
Multigrain,79,2,0.02531
Cranberry Compote,78,2,0.02564
Peach Pie,78,2,0.02564
6 Pecan Citrus Scones,76,6,0.07894
Strawberry Rhubarb Pie,75,3,0.04
Challah Sausage Buns,75,0,0
Granola,70,6,0.08571
Chicken Noodle Soup - Frozen,70,5,0.07142
6 Carrot Ginger Pecan Muffins,69,1,0.01449
Basque Cheesecake- Choice of Flavour,68,4,0.05882
6 Cheddar & Herb Scones,68,3,0.04411
Mini Dessert Box for Mom,66,0,0
Gift card - $20,65,0,0
St. Patrick's Day Three Course Dinner for Two,65,1,0.01538
Assorted Holiday Cookie Boxes - 1 dozen,65,0,0
Vegetarian Pot Pie,63,1,0.01587
Valentine's Day Treat Box,63,1,0.01587
6 Peanut Butter Hello Dolly Squares (Gluten Free),61,3,0.04918
6 Raisin Scones,61,1,0.01639
2 Iced Shortbread,61,0,0
6 Shortbread Snowflakes,61,1,0.01639
6 Blueberry Cranberry Bran Muffins,60,14,0.23333
Salmon & Shrimp Pie,60,0,0
6 Blueberry Lemon Buns,58,3,0.05172
8 Cup Plum Pudding,57,1,0.01754
Copy of Vanilla Buttercake,57,2,0.03508
Appetizer Platter,56,2,0.03571
Black River Juice,56,0,0
6 Flourless Cupcakes,56,1,0.01785
55 Coconut Mar Macroon,55,0,0
Drink Tickets,55,0,0
Brunch Box for 2 - Quiche,55,2,0.03636
6 Flourless Bagels,54,1,0.01851
Cake Tasting Box,53,3,0.0566
50 Iced Shortbread - Round Shape,50,0,0
2 Choc Chunk 2 PB 2 OR Cookies in a bag,50,0,0
Will You Be My Valentine Treat Box,49,1,0.0204
Easter Basket Cake,48,2,0.04166
Copy of Trifle Cake,46,0,0
6 Linzer Cookies,46,1,0.02173
6-cookie pack (2 Choc. Chunk + 2 Oat. Raisin + 2 PB),45,0,0
6 Date Nut Bran Muffins,43,1,0.02325
Easter Dinner for 2,43,2,0.04651
6 Almond Croissant,42,1,0.0238
Cookie Trays - Individually Wrapped,42,1,0.0238
6 Mini Egg Hello Dolly Squares,42,0,0
Mini Carrot Loaf with Cream Cheese Icing,42,1,0.0238
cello bags,42,0,0
Copy of Vanilla Buttercake with Raspberry Buttercream,42,4,0.09523
Irish Soda Bread,41,0,0
Stuffing (Made with Turkey Drippings),40,2,0.05
9 Chocolate Covered Strawberries,40,0,0
Oatcakes (2 per package),40,0,0
Local Cured Meats Platter,39,2,0.05128
6 Date Squares,38,0,0
"Vegan Apple Pie - 8""",38,1,0.02631
Copy of Chocolate Buttercake,38,2,0.05263
Rhubarb Pie,38,0,0
Tea Party Box,37,0,0
6 Nanaimo Bars,37,2,0.05405
500 mL asparagus vichyssoise,36,0,0
Pride Iced Shortbread Cookie,36,0,0
Snowflake cookies with white icing and blue sprinkles,36,0,0
6 Croissant Pecan Sticky Buns,35,1,0.02857
$50 Gift card,35,0,0
(35) Individual bags,35,0,0
1 Shortbread Cookies (shapes),35,35,1
Flourless Chocolate Cake,34,3,0.08823
6 Rhubarb Scones,34,0,0
6 Macarons of the Month,33,1,0.0303
Plain Cheesecake -Choice of Topping,33,2,0.0606
Garlic Pan Pull Apart Buns,32,0,0
Mincemeat Pie,32,1,0.03125
Iced Shortbread,32,0,0
(32) Pop Tarts - Raspberry with E & R,32,0,0
Brie and Cranberry Puff Pastry Bites,31,2,0.06451
Hasselback Squash with Prosciutto Crisp and Brown Butter Breadcrumbs,31,1,0.03225
Rainbow Heart Cookies,30,0,0
Copy of Carrot Cake,30,1,0.03333
Turkey Meatballs with Cranberry Glaze,30,0,0
Irish Pasties,29,0,0
Flourless Vanilla Cake,29,1,0.03448
"Vegan Blueberry Pie - 8""",29,2,0.06896
Basque Cheesecake,29,2,0.06896
Extra Large Raspberry Macaron,28,1,0.03571
"Vegan Raspberry Pie - 8""",28,0,0
6 Oat Chocolate Chip Scones,26,2,0.07692
Beef and Vegetable Guinness Pie,26,0,0
"Vegan Cherry Pie - 8""",26,0,0
Chicken Skewers with Peanut Dipping Sauce,25,1,0.04
Linzer Cookies,25,1,0.04
6 Sprinkle Shamrock Cookies,24,0,0
bagel,24,24,1
Skeleton Gingerbread Men,24,0,0
2lb Mac & Cheese,24,0,0
Tote Bag,24,0,0
Napoleon,24,0,0
Valentine iced shortbreads,24,0,0
6 Quinoa Chocolate Chip Cookies,24,0,0
Small Pumpkin Loaf with Cream Cheese Icing,24,4,0.16666
sprinkle snowflake shortbread cookie,24,0,0
Raspberry Coconut Lime Pie,24,1,0.04166
portuguese tarts,24,0,0
Sugar cookies - Wendy will make,24,0,0
"iced shortbread - heart shaped, white iced heart with green 30's on them - for 30th anniversary",24,0,0
Brownie Cobbler Slabs,24,0,0
Baguette,23,2,0.08695
6 Rhubarb Muffins,23,0,0
Rye Sourdough with Sunflower Seeds,23,0,0
4 Potato Buns,23,0,0
4 Chocolate Cupcakes with Vanilla Buttercream Topped with Pumpkin Decoration - Thanksgiving Menu,23,0,0
Plain Cheesecake,23,1,0.04347
"10"" Chocolate Tower Salted Caramel",22,0,0
T&J's Blueberry Jam Vinaigrette,21,0,0
4 Valentine's Day Cupcakes - Chocolate Curl,21,0,0
20 Chocolate Cupcakes with CBC,20,0,0
Brunch Box for 2 - Baked French Toast,20,0,0
(20) Hummingbird Cupcake with Pineapple topping,20,0,0
20 Vanilla Cupcakes with VBC,20,0,0
Candles,19,0,0
Boylan Soda,19,0,0
Selection of Appetizers,19,0,0
napoleon,18,0,0
portugese tarts,18,0,0
chocolate brownies,18,0,0
Dublin Coddle,17,0,0
6 Welsh Cakes,17,0,0
Buffet Dinner,17,0,0
Copy of Jam Filled Layer Cake,17,2,0.11764
Peach Raspberry Pie,16,0,0
Build Your Own Breakfast Sandwich,16,0,0
Vegetarian Gravy - Thanksgiving Menu,16,1,0.0625
Dinner Rolls (dozen),15,0,0
"5 small apple caramel pecan tarts, 5 small blueberry fruit tarts, 5 Raspberry/Blackberry tart",15,0,0
Assorted Scone Selection,15,0,0
Copy of Chocolate Salted Caramel Cake,15,0,0
Cheddar & Ale Soup,15,4,0.26666
MOM Cookie Cake,14,0,0
Chicken Noodle Soup,13,0,0
Bailey's Cheesecake,13,0,0
6 Bagels,13,0,0
(12) Pride Cookies,12,0,0
Rhubarb Jam,12,2,0.16666
Shepherds Pie - Frozen,12,2,0.16666
Flower Shortbread Cookie,12,0,0
Raspberry Pop Tarts (12),12,0,0
12 plain bagels,12,0,0
Raspberry PopTart,12,0,0
Heart Shortbread Cookie,12,0,0
choc brownie,12,0,0
12 sesame seed bagels,12,0,0
Semi-sweet Chocolate Chips - 1 lb,12,0,0
Lemon Thyme Cakes,12,0,0
Whiskey Infused Raisin Bread Pudding,12,1,0.08333
Plum Pudding,12,1,0.08333
6 Nutella & Raspberry Jam Macaron,12,1,0.08333
Charcuterie Gift Box,12,0,0
Strawberries & Cream,11,0,0
Roasted Carrots with Maple Butter and Fresh Thyme,11,0,0
Take & Bake Cinnamon Buns,11,0,0
Opera Cake,11,1,0.0909
Maritime,11,0,0
DAD Chocolate Chip Cookie Cake,10,0,0
Warm Beet Salad with Goat Cheese and Toasted Walnuts,10,1,0.1
Casalingo Salami,10,1,0.1
Colcannon,10,0,0
Greeting Cards,10,0,0
"Honey Roasted Walnut, Ricotta and Fig Crostini",10,0,0
1 Cream puffs,10,0,0
6 Sprinkle Shortbread Hearts,10,0,0
Hummingbird Cupcakes - 4 Cupcakes,9,1,0.11111
Take & Bake Strawberry Rhubarb Crisp,9,0,0
Kabobs - Ready to be Grilled,9,0,0
Classic Mashed Potatoes,9,1,0.11111
Copy of Vegan Chocolate Cake,9,0,0
"8"" Banana Cream Pie",9,0,0
White Dinner Rolls,9,0,0
Mini Cornbread Loaf,9,0,0
Raspberry Jam,9,0,0
6 Hummingbird Cupcakes,8,8,1
Mother's Day Shortbread Variety 6-Pack,8,0,0
Chocolate Pot de Creme,8,0,0
T&J's Homemade Ketchup,8,0,0
Small Shepherds Pie,8,0,0
Birthday Party,8,0,0
Apple Raisin Walnut Loaf (no sugar on top),8,0,0
Napolean,8,0,0
Gingerbread Men,8,0,0
Copy of Confetti Cake,8,0,0
Maple Syrup Amber,8,0,0
Large Shepard's Pie,8,4,0.5
"8"" chocolate cream pie",8,0,0
Focaccia,8,0,0
Bee Queen Honey,8,1,0.125
Copy of Bailey's & Coffee Cake,7,0,0
6 Mincemeat Tarts,7,0,0
Easter Decorated Cookie Cake,7,0,0
LOVE IS LOVE Chocolate Chip Cookie Cake,7,0,0
Hale Coffee (Used in T&J),7,0,0
Shane's Honey,7,0,0
Hummingbird Mini Loaf,7,0,0
White Chocolate Raspberry Mousse Cake,7,0,0
"9"" Lemon Meringue Pie",7,0,0
More to Love Raspberry Macaron,7,1,0.14285
Smokey Queso Dip,7,0,0
Caramelized Onion and Almond Sautéed Green Beans,7,0,0
Apple Raisin Walnut Loaf,7,0,0
baguette,7,0,0
2 Iced Shamrock Cookies,7,0,0
Black River Juice (any flavour),6,0,0
Chocolate Cupcake with Spiderweb,6,0,0
6 danish4 cheery 2 apple,6,0,0
gluten free muffin,6,0,0
Blueberry Jam,6,1,0.16666
eclairs,6,0,0
Multigrain Bread (sliced regular),6,0,0
San Pellegrino,6,0,0
Portuguese Tart,6,0,0
Cressy Mustard,6,0,0
6 Cheese Bagels,6,0,0
Lemon Thyme Cake,6,0,0
Mexican Street Corn,6,1,0.16666
napolean,6,0,0
blueberry lemon bun,6,0,0
Brownie Cobbler half sheet for White Mountain,6,0,0
Vanilla Cupcake with Spider Web,6,0,0
ginger molases cookies,6,0,0
Napoleon (Individual),6,0,0
Mini Guinness cake,6,0,0
Rhubarb Lemonade Syrup,6,0,0
Eska Water,6,0,0
Cran Pumpkin Bread,6,0,0
12 Hazelnut Dacquoise Sandwich Cookies,6,0,0
"9"" lemon meringue",6,0,0
Gluten-free Muffins,6,0,0
Apple Walnut Raisin,6,0,0
Basque Cheesecake - 6 inch,6,0,0
"8"" Chocolate Cream Pie",6,0,0
hermits cookies,6,0,0
vanilla cupcake with pumpkin,6,0,0
Caramelized Onion & Gruyere Tarts (dozen),6,0,0
Maritime Loaf,6,0,0
Prossecco,6,0,0
"9"" Pie Tops",6,0,0
Chocolate Cupcake with Pumpkin,6,0,0
fresh fruit tart,5,0,0
10 Silicone Baking Sheets,5,1,0.2
9” Mincemeat Pie,5,0,0
San Pellegrino Sparklin Water,5,0,0
6 Pretzels,5,0,0
Pear apple cran crumble pie,5,0,0
"8"" mincemeat pie",5,0,0
Chocolate plaque,5,0,0
Payment for Party,5,0,0
Rhubarb Loaf,5,0,0
Focaccia Rosemary and Thyme,5,0,0
"8"" Lemon Meringue Pie",5,0,0
Roasted Turkey Breast,5,0,0
Tuna pasta salad (large),5,0,0
12 dinner rolls,5,0,0
LARGE Tuna Picnic Pasta Salad,5,0,0
County Roasters Coffee,5,0,0
Maritime Raisin,5,0,0
Apple Raisin Walnut Loaf NO SUGAR ON TOP,4,0,0
Maple Baked Beans,4,0,0
Cheddar Bacon Ranch Potato Salad,4,0,0
Copy of Chocolate Cherry Cake,4,0,0
Vegetarian Pizza,4,0,0
square,4,0,0
Lg mexican corn salad,4,0,0
maritime,4,0,0
focaccia - olive onion pepper with rosemary,4,4,1
Maple Syrup Dark,4,0,0
white mountain brownie cobbler slab,4,4,1
cupcake vanilla,4,0,0
"(4) Danish - 2 cherry, 2 apple",4,0,0
"6"" Chocolate Marquise Cake",4,0,0
"iced shortbread (baseballs, basketballs) x6",4,0,0
1 dozen Sprinkle Shortbread,4,4,1
6 Iced Shortbread (any shape),4,0,0
Breakfast Pastry Selection - Large (8am pickup),4,0,0
Apple Walnut Raisin Loaf (no sugar on top),4,0,0
1 dozen dinner rolls,4,0,0
Breakfast Pastry Selection - Large (7am pickup),4,0,0
4 Bagel - Sesame,4,0,0
2 Iced Shortbread Daisies,4,2,0.5
6 Plain Scones,4,0,0
chocolate cupcakes,4,0,0
Apple Walnut Raisin (no sugar on top),4,4,1
Asparagus Vichyssoise,4,0,0
6 Sprinkle cookies,4,0,0
1 Napoleon,4,0,0
Assorted Scone Selection (7am pickup),4,0,0
Loon Kombucha,4,0,0
Maritime Raisin Loaf,4,0,0
raisin bran muffins,4,0,0
1 lb Fruitcake,3,0,0
Cookie Tray - 4 dozen (Individually wrapped)  NO HERMIT COOKIES,3,0,0
1 Dozen Linzer Cookies,3,0,0
"8"" banana cream pie",3,0,0
Small Baked Fruit Tart Raspberry,3,0,0
4 Thanksgiving Themed Vegan Cupcakes,3,0,0
eclaire,3,0,0
Bittersweet Chocolate Callets - 1 lb,3,2,0.66666
Roasted Red Pepper and Goat Cheese Dip,3,0,0
6 Chocolate cupcakes with rasp bc,3,0,0
"5"" Rhubarb Crisp (Flourless)",3,0,0
Vegetable Samosa,3,0,0
12 Lemon Drop Cookies,3,0,0
(6) Dark Chocolate Raspberry Muffins,3,0,0
Cranberry Orange Pecan Loaf,3,0,0
Small Baked Fruit Tart Peach,3,0,0
oatcake dozen,3,0,0
Large Salad (Cous-Cous),3,3,1
1 dozen Portuguese Tarts,3,0,0
Maritime (no raisin),3,0,0
(3) Gluten Free PB Hello Dollies,3,0,0
"pepperoni,mushroom,bacon pizza",3,0,0
6 vanilla cupcakes with rasp bc,3,0,0
6 Plain Bagels,3,0,0
chicken smoked gouda sandwhich,3,0,0
12 Linzer Cookies,3,0,0
Wine,3,0,0
Cream Puff,3,0,0
2 lb Fruitcake,3,0,0
Orange Chocolate Chip Loaf,3,0,0
Dozen Dinner Rolls,3,0,0
iced short bread,3,0,0
Small Baked Fruit Tart - Apple Caramel Pecan,3,0,0
Copy of Chocolate Peanut Butter Cake,3,0,0
"9"" Banana Cream Pie",3,1,0.33333
carrot ginger soup 1L,3,3,1
Chocolate Eclair,3,0,0
4 Hamburg Buns,3,1,0.33333
Apple Raisin Walnut (no sugar on top),3,0,0
Small Baked Fruit Tart Blueberry,3,0,0
Unbleached All Purpose Flour - 3lb bag,3,0,0
4 Bagels - Cheese,3,0,0
Chicken sandwich Individual (cut in half),3,0,0
Small Baked Fruit Tart - Blueberry,3,0,0
"8"" Carrot Cake with no raisins",3,0,0
2 Year Aged Fruitcake with Almond Paste - 1lb,3,0,0
cream puff,3,0,0
White Chocolate Plaque,3,0,0
"8"" Raspberry Custard Pie",3,0,0
Small Baked Fruit Tart - Raspberry/Blackberry,3,0,0
apple raisin walnut loaf,3,0,0
Assorted Holiday Cookies (1 dozen),3,0,0
"8"" Peach Pie",3,0,0
Roasted Red Pepper & Goat Cheese Dip,3,0,0
"9"" Peach Pie",2,0,0
apple raisin walnut loafes (no suger,2,2,1
6 scones assorted,2,0,0
lizer,2,2,1
brownie cobbler,2,0,0
